Reference, Value, Footprint, Datasheet, LCSC
"U2","ATtiny85-20SU","Package_SO:SOIJ-8_5.3x5.3mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf","C89852"
"U1","MCP73831-2-OT","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf"
"C1","4.7u","Capacitor_SMD:C_1206_3216Metric","~","C29823"
"R2","4.7k","Resistor_SMD:R_1206_3216Metric","~","C17936"
"C2","4.7u","Capacitor_SMD:C_1206_3216Metric","~","C29823"
"BT1","Battery_Cell","MyOwn:Batteri LiPo 3.7V 400mAh","~"
"R1","1k","Resistor_SMD:R_1206_3216Metric","~"," C4410"
"J1","USB_B_Mini","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal","~","C91144"
"J2","Conn_02x03_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x03_P1.27mm_Vertical_SMD","~"
"R3","100k","Resistor_SMD:R_1206_3216Metric","~","C17900"
"TH1","Thermistor","Resistor_SMD:R_1206_3216Metric","~"
"D1","LED","LED_SMD:LED_1206_3216Metric","~","C93133"
"D2","SK6812","LED_SMD:LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/product-files/1138/SK6812+LED+datasheet+.pdf","C114586"
"D3","SK6812","LED_SMD:LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/product-files/1138/SK6812+LED+datasheet+.pdf","C114586"
"D4","SK6812","LED_SMD:LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/product-files/1138/SK6812+LED+datasheet+.pdf","C114586"
"D5","SK6812","LED_SMD:LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/product-files/1138/SK6812+LED+datasheet+.pdf","C114586"
"SW1","SW_SPDT","Button_Switch_SMD:SW_SPDT_PCM12","~","C136659"
